[06:39:00] Searching for collection named: 'a - non-SSRN Screening'
[06:39:03]   Found collection key: X5MG34TK
[06:39:03] Fetching items from collection X5MG34TK...
[02:14:51]   [1800/2952] discard=991 maybe=476 keep=333 err=0 rate=0.03/s eta=752min
[02:21:06]   [1810/2952] discard=997 maybe=477 keep=336 err=0 rate=0.03/s eta=745min
[02:27:59]   [1820/2952] discard=1001 maybe=480 keep=339 err=0 rate=0.03/s eta=739min
[02:34:25]   [1830/2952] discard=1006 maybe=483 keep=341 err=0 rate=0.03/s eta=732min
[02:40:56]   [1840/2952] discard=1013 maybe=486 keep=341 err=0 rate=0.03/s eta=725min
[02:47:42]   [1850/2952] discard=1022 maybe=487 keep=341 err=0 rate=0.03/s eta=719min
[02:54:15]   [1860/2952] discard=1029 maybe=489 keep=342 err=0 rate=0.03/s eta=713min
[03:00:47]   [1870/2952] discard=1035 maybe=493 keep=342 err=0 rate=0.03/s eta=706min
[03:07:02]   [1880/2952] discard=1040 maybe=496 keep=344 err=0 rate=0.03/s eta=699min
[03:13:27]   [1890/2952] discard=1046 maybe=498 keep=346 err=0 rate=0.03/s eta=693min
[03:19:50]   [1900/2952] discard=1054 maybe=500 keep=346 err=0 rate=0.03/s eta=686min
[03:26:29]   [1910/2952] discard=1062 maybe=502 keep=346 err=0 rate=0.03/s eta=680min
[03:33:06]   [1920/2952] discard=1067 maybe=504 keep=349 err=0 rate=0.03/s eta=673min
[03:39:42]   [1930/2952] discard=1076 maybe=505 keep=349 err=0 rate=0.03/s eta=667min
[03:46:27]   [1940/2952] discard=1082 maybe=507 keep=351 err=0 rate=0.03/s eta=660min
[03:53:20]   [1950/2952] discard=1087 maybe=510 keep=353 err=0 rate=0.03/s eta=654min
[03:59:48]   [1960/2952] discard=1093 maybe=513 keep=354 err=0 rate=0.03/s eta=647min
[04:06:14]   [1970/2952] discard=1102 maybe=514 keep=354 err=0 rate=0.03/s eta=641min
[04:12:41]   [1980/2952] discard=1110 maybe=515 keep=355 err=0 rate=0.03/s eta=634min
[04:19:10]   [1990/2952] discard=1116 maybe=519 keep=355 err=0 rate=0.03/s eta=628min
[04:26:03]   [2000/2952] discard=1122 maybe=520 keep=358 err=0 rate=0.03/s eta=621min
[04:32:47]   [2010/2952] discard=1130 maybe=521 keep=359 err=0 rate=0.03/s eta=615min
[04:39:13]   [2020/2952] discard=1136 maybe=525 keep=359 err=0 rate=0.03/s eta=608min
[04:45:38]   [2030/2952] discard=1140 maybe=530 keep=360 err=0 rate=0.03/s eta=602min
[04:52:09]   [2040/2952] discard=1147 maybe=532 keep=361 err=0 rate=0.03/s eta=595min
[04:58:32]   [2050/2952] discard=1156 maybe=533 keep=361 err=0 rate=0.03/s eta=589min
